MOKP INSTANCE 1
0.024233 0.299430 0.246246
0.004554 0.284881 0.152795
0.030512 0.355950 0.068675
0.002065 0.381104 0.228910
0.005547 0.325923 0.619292
0.027516 0.571947 0.555115
0.065729 0.217097 0.886630
0.038785 0.451453 0.832459
0.069905 0.555815 0.122005
0.021951 0.571751 0.389217
0.056839 0.621968 0.581084
0.031159 0.141465 0.247504

MOKP INSTANCE 19
W E I G H T   V A L U E 1   V A L U E 2
0.003979 0.425442 0.260108
0.019338 0.276084 0.919815
0.032395 0.092227 0.563760
0.011661 0.970158 0.531269
0.040535 0.111399 0.196906
0.067609 0.973567 0.769704
0.038575 0.431718 0.388923
0.023878 0.648672 0.969342
0.006131 0.791859 0.396222
0.057733 0.300125 0.501918
0.069405 0.524003 0.119119
0.037687 0.394209 0.358792
0.029659 0.957675 0.345599
0.053434 0.416268 0.370088
0.070064 0.330926 0.195384
0.068181 0.220338 0.724303
0.066170 0.858860 0.559263
0.039853 0.863326 0.614894
0.030502 0.970253 0.863124
0.003375 0.150430 0.201549
0.004064 0.406473 0.170177
0.017768 0.888007 0.696106
0.016452 0.119340 0.241911
0.002431 0.059619 0.466585
0.002491 0.754542 0.592700
0.044125 0.917067 0.806945
0.013114 0.296211 0.040132
0.000498 0.335438 0.085278
0.025829 0.496517 0.139144
0.004316 0.816523 0.043454
0.028279 0.512169 0.629536
0.035826 0.129956 0.283028
0.061743 0.726642 0.294609
0.006947 0.289516 0.122477
0.027507 0.054003 0.087725
0.069568 0.608982 0.439651
0.012735 0.649140 0.478730
0.026273 0.487569 0.290818
0.075548 0.447417 0.985499
0.019326 0.379798 0.563110
0.076558 0.315955 0.507416
0.004188 0.795772 0.254253
0.019022 0.841414 0.752740
0.005710 0.079000 0.851997
0.034237 0.452894 0.880020
0.055190 0.713083 0.786652
0.010405 0.848466 0.630689
0.031077 0.617302 0.550988
0.032522 0.701401 0.653854
0.015572 0.257550 0.483197

MOKP INSTANCE 20
W E I G H T   V A L U E 1   V A L U E 2
0.051569 0.359401 0.087819
0.044973 0.903587 0.031511
0.027714 0.674993 0.402742
0.078779 0.461313 0.600730
0.053240 0.966601 0.693025
0.012365 0.839132 0.262592
0.076306 0.465057 0.268942
0.075966 0.191104 0.939775
0.006920 0.379258 0.067457
0.017402 0.607971 0.842631
0.029285 0.221669 0.816110
0.012359 0.521467 0.700410
0.052414 0.721546 0.642587
0.053604 0.677527 0.298197
0.076329 0.570426 0.704650
0.070585 0.691450 0.601109
0.026599 0.717060 0.218743
0.069243 0.444533 0.708179
0.022286 0.777098 0.906288
0.033899 0.159880 0.616071
0.067857 0.835551 0.252788
0.057955 0.693097 0.136335
0.011961 0.048173 0.923007
0.058442 0.961095 0.899417
0.074862 0.913151 0.586856
0.049042 0.496503 0.057633
0.030892 0.347249 0.574433
0.064780 0.911263 0.973245
0.061326 0.992937 0.034978
0.025904 0.452968 0.087041
0.054059 0.690540 0.886696
0.073392 0.029588 0.840474
0.070800 0.617023 0.830700
0.005309 0.174486 0.659788
0.034329 0.035189 0.236165
0.063714 0.228884 0.526450
0.067266 0.412970 0.688570
0.028073 0.846863 0.373261
0.021091 0.417768 0.496023
0.005476 0.318388 0.067396
0.014705 0.898976 0.792414
0.049967 0.704714 0.640284
0.034165 0.472348 0.873144
0.053978 0.785678 0.347331
0.042207 0.093268 0.330684
0.001340 0.859859 0.964147
0.075794 0.288430 0.609902
0.016632 0.331067 0.871382
0.064449 0.258799 0.183427
0.053756 0.070491 0.214846

